#virus	bacteria	score
NC_022091	NC_013119	1
NC_021801	NC_016941	1
NC_022758	NC_016941	1
NC_022776	NC_006448	3
NC_022776	NC_017563	2
NC_022776	NC_008532	1
NC_022776	NC_017927	1
NC_021773	NC_016941	1
NC_022966	NC_013119	1
NC_022966	NC_023149	1
NC_022970	NC_013119	1
NC_022970	NC_023149	1
NC_022761	NC_013119	1
NC_013597	NC_017846	11
NC_013597	NC_013119	1
NC_018285	NC_015760	3
NC_018285	NC_017563	1
NC_018285	NC_006448	1
NC_018285	NC_017927	1
NC_018264	NC_015555	13
NC_018264	NC_019970	4
NC_018264	NC_014410	2
NC_018264	NC_010321	1
NC_018264	NC_014964	1
NC_023503	NC_017563	2
NC_023503	NC_017927	2
NC_023503	NC_017581	2
NC_023503	NC_015760	1
NC_023503	NC_018646	1
NC_023503	NC_006448	1
NC_023503	NC_007432	1
NC_023500	NC_016941	1
NC_023502	NC_013119	1
NC_023610	NC_013119	1
NC_023555	NC_017271	1
NC_023588	NC_015758	1
NC_023700	NC_017548	3
NC_023700	NC_023149	2
NC_023700	NC_011770	2
NC_023700	NC_023066	2
NC_023700	NC_018080	1
NC_023700	NC_008463	1
NC_023700	NC_021577	1
NC_021867	NC_009613	2
NC_023575	NC_018080	1
NC_023575	NC_008463	1
NC_023575	NC_016640	1
NC_023575	NC_023149	1
NC_023575	NC_011770	1
NC_023575	NC_023066	1
NC_024123	NC_023149	1
NC_024140	NC_013119	1
NC_024140	NC_011071	1
NC_024212	NC_018221	2
NC_024203	NC_021314	1
NC_024208	NC_021314	1
NC_024214	NC_021314	1
NC_024215	NC_021314	1
NC_023597	NC_022350	1
NC_023597	NC_020089	1
NC_023597	NC_020559	1
NC_023606	NC_022350	1
NC_023606	NC_020089	1
NC_023606	NC_020559	1
NC_024330	NC_017548	3
NC_024330	NC_018080	2
NC_024330	NC_023149	2
NC_024330	NC_011770	2
NC_024330	NC_023066	2
NC_024330	NC_008463	1
NC_024330	NC_021577	1
NC_024357	NC_022584	1
NC_024360	NC_018591	3
NC_024360	NC_021838	3
NC_024360	NC_021826	3
NC_024360	NC_018587	3
NC_024360	NC_017545	1
NC_024361	NC_022584	1
NC_024364	NC_018591	2
NC_024364	NC_021838	2
NC_024364	NC_021826	2
NC_024364	NC_018587	2
NC_024364	NC_017545	1
NC_024370	NC_022584	1
NC_024359	NC_018591	2
NC_024359	NC_021838	2
NC_024359	NC_021826	2
NC_024359	NC_018587	2
NC_024359	NC_017545	1
NC_024369	NC_009457	3
NC_024369	NC_012582	3
NC_024375	NC_021823	3
NC_024375	NC_017547	3
NC_024375	NC_018592	2
NC_024375	NC_022568	2
NC_024375	NC_018591	1
NC_024375	NC_021838	1
NC_024375	NC_018586	1
NC_024375	NC_021826	1
NC_024383	NC_018591	3
NC_024383	NC_021838	3
NC_024383	NC_021826	3
NC_024383	NC_018587	3
NC_024383	NC_017545	1
NC_024384	NC_018592	3
NC_024384	NC_018591	3
NC_024384	NC_022568	3
NC_024384	NC_021838	3
NC_024384	NC_021826	3
NC_024384	NC_018587	3
NC_024384	NC_017537	2
NC_024384	NC_017529	2
NC_024384	NC_011660	2
NC_024384	NC_003212	1
NC_024384	NC_017544	1
NC_024387	NC_021823	7
NC_024387	NC_017547	7
NC_024387	NC_018592	4
NC_024387	NC_022568	4
NC_024387	NC_013768	3
NC_024387	NC_021837	3
NC_024387	NC_021838	3
NC_024387	NC_013766	3
NC_024387	NC_021826	3
NC_024387	NC_017544	3
NC_024387	NC_018591	2
NC_024387	NC_017545	2
NC_024387	NC_018587	2
NC_024387	NC_018593	1
NC_024392	NC_021823	4
NC_024392	NC_017547	4
NC_024392	NC_018592	1
NC_024392	NC_018591	1
NC_024392	NC_022568	1
NC_024392	NC_021838	1
NC_024392	NC_018586	1
NC_024392	NC_021826	1
NC_012753	NC_017563	2
NC_012753	NC_017927	2
NC_012753	NC_017581	2
NC_012753	NC_006448	1
NC_018274	NC_008463	2
NC_018274	NC_017548	1
NC_018274	NC_021577	1
NC_018283	NC_015758	1
NC_018281	NC_002976	1
NC_018284	NC_002976	1
NC_000871	NC_017563	4
NC_000871	NC_006449	4
NC_000871	NC_006448	3
NC_000871	NC_008532	2
NC_000871	NC_017927	2
NC_000871	NC_017581	1
NC_002185	NC_017563	9
NC_002185	NC_006448	4
NC_002185	NC_017581	4
NC_002185	NC_008532	2
NC_002185	NC_017927	2
NC_002185	NC_016749	2
NC_002214	NC_006449	4
NC_002214	NC_006448	3
NC_002214	NC_017563	1
NC_002214	NC_017927	1
NC_002747	NC_017563	1
NC_002703	NC_017563	1
NC_000872	NC_017927	4
NC_000872	NC_006449	4
NC_000872	NC_006448	2
NC_000872	NC_017563	1
NC_000872	NC_017581	1
NC_003291	NC_017537	1
NC_003291	NC_017529	1
NC_003291	NC_021823	1
NC_003291	NC_017545	1
NC_003291	NC_017547	1
NC_003291	NC_011660	1
NC_003157	NC_011375	3
NC_003157	NC_012891	2
NC_003157	NC_017567	2
NC_003157	NC_018936	1
NC_003157	NC_007297	1
NC_003157	NC_020540	1
NC_003157	NC_018712	1
NC_003157	NC_002737	1
NC_004303	NC_017563	3
NC_004303	NC_006448	2
NC_004303	NC_006449	2
NC_004303	NC_016749	1
NC_004313	NC_021902	1
NC_004313	NC_010468	1
NC_004313	NC_011080	1
NC_003315	NC_013119	1
NC_004462	NC_014974	3
NC_004462	NC_019386	2
NC_004616	NC_016941	1
NC_004902	NC_010717	3
NC_004902	NC_007705	3
NC_004902	NC_013119	1
NC_004466	NC_013119	1
NC_004066	NC_017563	1
NC_005354	NC_017477	1
NC_005356	NC_016941	1
NC_003085	NC_008095	1
NC_001942	NC_011025	3
NC_003278	NC_023149	3
NC_003278	NC_021577	2
NC_003278	NC_017548	1
NC_003278	NC_018080	1
NC_003278	NC_008463	1
NC_004735	NC_015966	3
NC_005893	NC_013198	2
NC_005893	NC_017482	2
NC_002371	NC_020064	1
NC_002371	NC_013282	1
NC_005857	NC_013716	1
NC_005344	NC_012731	1
NC_005841	NC_016818	2
NC_005841	NC_013119	1
NC_005841	NC_018106	1
NC_005841	NC_012731	1
NC_005841	NC_013282	1
NC_002484	NC_021577	1
NC_004585	NC_017567	3
NC_004585	NC_008023	2
NC_004585	NC_008021	2
NC_004585	NC_002737	2
NC_004585	NC_018936	1
NC_004585	NC_012891	1
NC_004585	NC_011375	1
NC_004585	NC_007297	1
NC_004585	NC_020540	1
NC_004585	NC_018712	1
NC_004585	NC_019042	1
NC_004585	NC_008022	1
NC_004586	NC_013119	1
NC_004586	NC_008024	1
NC_004586	NC_011375	1
NC_004586	NC_017053	1
NC_004586	NC_017567	1
NC_004586	NC_017582	1
NC_004586	NC_018712	1
NC_004586	NC_002737	1
NC_004586	NC_019042	1
NC_004586	NC_012470	1
NC_004586	NC_008022	1
NC_004587	NC_011375	3
NC_004587	NC_012891	2
NC_004587	NC_017567	2
NC_004587	NC_018936	1
NC_004587	NC_007297	1
NC_004587	NC_020540	1
NC_004587	NC_018712	1
NC_004587	NC_002737	1
NC_004588	NC_008023	1
NC_004588	NC_008024	1
NC_004588	NC_008021	1
NC_004588	NC_017567	1
NC_004588	NC_002737	1
NC_004588	NC_019042	1
NC_004589	NC_007296	1
NC_004589	NC_017567	1
NC_004584	NC_008023	2
NC_004584	NC_008021	2
NC_004584	NC_017567	2
NC_004584	NC_019042	2
NC_004584	NC_018936	1
NC_004584	NC_012891	1
NC_004584	NC_007296	1
NC_004584	NC_007297	1
NC_004584	NC_020540	1
NC_004584	NC_008022	1
NC_006548	NC_017548	1
NC_006548	NC_018080	1
NC_001331	NC_021577	3
NC_003216	NC_018591	5
NC_003216	NC_017545	5
NC_003216	NC_021838	5
NC_003216	NC_021826	5
NC_003216	NC_018587	5
NC_003216	NC_021823	2
NC_003216	NC_017547	2
NC_003216	NC_017537	1
NC_003216	NC_003212	1
NC_003216	NC_017529	1
NC_003216	NC_011660	1
NC_002167	NC_012731	1
NC_004112	NC_013198	3
NC_004112	NC_017482	3
NC_005294	NC_009785	1
NC_002072	NC_017563	4
NC_002072	NC_017927	3
NC_002072	NC_017581	2
NC_002072	NC_006449	1
NC_006552	NC_017548	2
NC_006552	NC_008463	2
NC_006552	NC_018080	1
NC_006552	NC_011770	1
NC_006552	NC_023066	1
NC_006949	NC_012731	1
NC_006949	NC_013282	1
NC_005045	NC_013119	1
NC_004827	NC_017846	13
NC_004827	NC_013119	2
NC_007019	NC_017563	1
NC_007019	NC_006448	1
NC_007019	NC_017927	1
NC_007051	NC_017568	1
NC_007054	NC_016941	1
NC_007059	NC_016941	1
NC_007059	NC_009012	1
NC_007060	NC_016941	1
NC_007063	NC_016941	1
NC_007064	NC_016941	1
NC_007501	NC_013198	1
NC_007501	NC_017482	1
NC_007709	NC_007705	11
NC_007709	NC_010717	2
NC_007710	NC_010717	1
NC_007710	NC_015758	1
NC_007710	NC_007705	1
NC_007804	NC_017634	1
NC_007804	NC_011993	1
NC_007806	NC_010995	2
NC_007917	NC_009089	1
NC_007917	NC_017177	1
NC_017865	NC_013119	1
NC_017864	NC_010995	2
NC_017968	NC_016941	1
NC_008201	NC_020834	5
NC_008201	NC_021082	3
NC_008201	NC_020833	3
NC_008201	NC_021743	3
NC_008201	NC_021883	3
NC_008201	NC_021739	3
NC_008201	NC_020515	1
NC_008193	NC_016808	5
NC_008193	NC_006300	1
NC_008722	NC_002976	1
NC_008723	NC_002976	1
NC_009018	NC_017567	4
NC_009018	NC_012891	3
NC_009018	NC_008023	3
NC_009018	NC_008021	3
NC_009018	NC_018712	2
NC_009018	NC_011375	1
NC_009231	NC_009089	1
NC_009231	NC_013316	1
NC_009231	NC_017179	1
NC_009231	NC_017178	1
NC_009231	NC_017175	1
NC_009231	NC_013315	1
NC_009382	NC_014307	1
NC_009543	NC_007705	5
NC_009554	NC_017469	2
NC_009554	NC_014727	1
NC_009554	NC_008529	1
NC_009819	NC_018936	1
NC_009819	NC_011375	1
NC_009819	NC_007296	1
